text,intent
I want financial stability. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable.,Finance
I want financial stability. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable.,Finance
I want financial stability. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable. I want to be financially stable.,Finance
I need help with budgeting,Finance
I need help with budgeting.,Finance
What is the best way to budget?,Finance
I need help with my budgeting.,Finance
I feel stressed about money,Finance
Why do I feel stressed about money?,Finance
Why do I feel so stressed about money?,Finance
Why am I so stressed about money?,Finance
I want to earn more money,Finance
How can I earn more money?,Finance
I want to earn money. How can I do that?,Finance
How can I earn more money in a short time?,Finance
I want to plan my expenses,Finance
How do I plan my expenses?,Finance
How can I plan my expenses?,Finance
How do I plan for my expenses?,Finance
I feel demotivated,Motivation
I feel demotivated and demotivated.,Motivation
I feel demotivated.,Motivation
I feel demotivated and demotivated all the time.,Motivation
I can’t stay motivated,Motivation
Why can't I stay motivated?,Motivation
How can I stay motivated?,Motivation
How do I stay motivated?,Motivation
I feel like giving up,Motivation
I feel like giving up.,Motivation
Why do I feel like giving up?,Motivation
I feel like giving up. I feel like giving up.,Motivation
I don’t feel like doing anything,Motivation
I don't feel like doing anything. I don't feel like doing anything.,Motivation
I don't feel like doing anything. I don't feel like doing anything. I don't feel like doing anything.,Motivation
I don't feel like doing anything. I don't feel like doing anything. I don't feel like doing anything. I don't feel like doing anything. I don't feel like doing anything.,Motivation
I feel lazy and unproductive,Motivation
I feel lazy and unproductive.,Motivation
I feel lazy and unproductive. What should I do?,Motivation
I feel lazy and unproductive all the time.,Motivation
mann nahi lag raha kisi kaam mein,Motivation
kuch karna hi nahi chahta,Motivation
energy nahi hai kuch karne ki,Motivation
I want to get motivated,Motivation
How do I get motivated?,Motivation
How can I get motivated?,Motivation
I want to get motivated. What should I do?,Motivation
I want to find my purpose,Motivation
I want to find my purpose. I want to find my purpose. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person.,Motivation
I want to find my purpose. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better,Motivation
I want to find my purpose. I want to be a better person. I want to be a better person. I want to be a better person. I want to find my purpose. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person. I want to be a better person.,Motivation
I need motivation to study,Motivation
Why do I need motivation to study?,Motivation
I need motivation to study.,Motivation
I need motivation to study. How can I get it?,Motivation
I want to get back on track,Motivation
How do I get back on track?,Motivation
How can I get back on track?,Motivation
I want to get back on track. I want to get back on track.,Motivation
I want to build motivation habits,Motivation
How do I build motivational habits?,Motivation
How can I build motivational habits?,Motivation
How do I develop motivational habits?,Motivation
I am confused about my future,Confusion/DecisionMaking
I am confused about my future. What should I do?,Confusion/DecisionMaking
I am confused about my future.,Confusion/DecisionMaking
I am confused about my future. I am confused about my future.,Confusion/DecisionMaking
I can’t decide what to do,Confusion/DecisionMaking
What should I do if I can't decide what to do?,Confusion/DecisionMaking
I can't decide what to do. What should I do?,Confusion/DecisionMaking
What should I do when I can't decide what to do?,Confusion/DecisionMaking
I am unsure about my goals,Confusion/DecisionMaking
I am unsure about my goals. What should I do?,Confusion/DecisionMaking
What should I do if I am unsure about my goals?,Confusion/DecisionMaking
I'm unsure about my goals. What should I do?,Confusion/DecisionMaking
I am stuck and confused,Confusion/DecisionMaking
I am stuck and confused. What should I do?,Confusion/DecisionMaking
I am stuck and confused. What can I do?,Confusion/DecisionMaking
I'm stuck and confused. What should I do?,Confusion/DecisionMaking
I don’t know what decision to take,Confusion/DecisionMaking
I don’t know what decision to make. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t,Confusion/DecisionMaking
I don’t know what decision to take. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t,Confusion/DecisionMaking
I don’t know what decision to make. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I don’t know what to do. I know what to,Confusion/DecisionMaking
I need help making a decision,Confusion/DecisionMaking
How do I make a decision?,Confusion/DecisionMaking
I need help making a decision.,Confusion/DecisionMaking
How do I make a good decision?,Confusion/DecisionMaking
I am uncertain about my next step,Confusion/DecisionMaking
I am uncertain about my next step. What should I do?,Confusion/DecisionMaking
I am uncertain about my next step in life. What should I do?,Confusion/DecisionMaking
What should I do next?,Confusion/DecisionMaking
I feel lost,Confusion/DecisionMaking
I feel like I'm lost.,Confusion/DecisionMaking
I feel lost in my own world.,Confusion/DecisionMaking
I feel lost.,Confusion/DecisionMaking
I am confused about my life choices,Confusion/DecisionMaking
I am confused about my life choices. What should I do?,Confusion/DecisionMaking
I'm confused about my life choices. What should I do?,Confusion/DecisionMaking
I'm confused about my life choices. I'm confused. What should I do?,Confusion/DecisionMaking
I am not sure what to do next,Confusion/DecisionMaking
What should I do next?,Confusion/DecisionMaking
What will I do next?,Confusion/DecisionMaking
What do I do next?,Confusion/DecisionMaking
I feel stressed about exams,Stress
I'm anxious about my upcoming test,Stress
Exams are giving me so much pressure,Stress
I can't handle exam stress anymore,Stress
I'm overwhelmed with studies and exams,Stress
I have exams coming up and I'm panicking,Stress
My exam results are stressing me out,Stress
I'm scared about failing my exams,Stress
akela feel kar raha hoon,Loneliness
koi baat nahi karta mujhse,Loneliness
bahut akela lagta hai,Loneliness
career ka pata nahi kya karun,Career
job nahi mil rahi,Career
future ke baare mein confused hoon,Career
